time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2025-6-28 7:45:37.453	WT901BLE68(109FC1F26429)	-0.019	-0.045	1.045	5.310	-3.418	0.488	-0.56	1.33	-1.99	-19.687	87.600	27.480	-0.99973	0.00461	-0.01175	0.01791	24.6	0.00	0.000	13113	100
2025-6-28 7:45:37.453	WT901BLE68(109FC1F26429)	-0.001	-0.002	0.958	1.648	-3.479	0.610	-0.55	1.32	-1.99	-19.687	87.600	27.480	-0.99973	0.00461	-0.01175	0.01791	24.6	0.00	0.000	13113	100
2025-6-28 7:45:37.454	WT901BLE68(109FC1F26429)	-0.011	-0.012	1.049	4.456	-4.456	0.427	-0.54	1.30	-1.98	-19.687	87.600	27.480	-0.99973	0.00461	-0.01175	0.01791	24.6	0.00	0.000	13113	100
2025-6-28 7:45:37.454	WT901BLE68(109FC1F26429)	-0.035	-0.041	1.011	0.732	-3.845	0.549	-0.54	1.27	-1.98	-19.687	87.600	27.480	-0.99973	0.00461	-0.01175	0.01791	24.6	0.00	0.000	13113	100
2025-6-28 7:45:37.454	WT901BLE68(109FC1F26429)	-0.007	-0.032	0.971	-2.502	2.319	0.305	-0.55	1.29	-1.98	-19.687	87.600	27.480	-0.99973	0.00461	-0.01175	0.01791	24.6	0.00	0.000	13113	100
2025-6-28 7:45:37.454	WT901BLE68(109FC1F26429)	-0.022	-0.067	1.020	-1.587	3.845	0.000	-0.57	1.31	-1.98	-19.687	87.600	27.480	-0.99973	0.00461	-0.01175	0.01791	24.6	0.00	0.000	13113	100
2025-6-28 7:45:37.454	WT901BLE68(109FC1F26429)	0.020	-0.020	0.974	-5.798	6.592	-0.122	-0.60	1.33	-1.98	-19.687	87.600	27.480	-0.99973	0.00461	-0.01175	0.01791	24.6	0.00	0.000	13113	100
2025-6-28 7:45:37.454	WT901BLE68(109FC1F26429)	-0.010	-0.033	1.040	-0.061	3.113	-0.305	-0.60	1.35	-1.98	-19.687	87.600	27.480	-0.99973	0.00461	-0.01175	0.01791	24.6	0.00	0.000	13113	100
2025-6-28 7:45:37.481	WT901BLE68(109FC1F26429)	-0.027	-0.021	0.948	1.770	-0.916	0.244	-0.60	1.35	-1.98	-19.687	87.600	27.480	-0.99973	0.00461	-0.01175	0.01791	24.6	0.00	0.000	13113	100
2025-6-28 7:45:37.482	WT901BLE68(109FC1F26429)	-0.037	-0.027	1.045	2.258	-1.587	0.610	-0.59	1.33	-1.98	-19.687	87.600	27.480	-0.99973	0.00461	-0.01175	0.01791	24.6	0.00	0.000	13113	100
2025-6-28 7:45:37.482	WT901BLE68(109FC1F26429)	-0.069	-0.045	0.999	5.981	-2.502	0.671	-0.56	1.32	-1.97	-19.687	87.600	27.480	-0.99973	0.00461	-0.01175	0.01791	24.6	0.00	0.000	13113	100
2025-6-28 7:45:37.482	WT901BLE68(109FC1F26429)	-0.023	-0.029	0.943	-1.099	1.343	0.671	-0.57	1.33	-1.97	-19.687	87.600	27.480	-0.99973	0.00461	-0.01175	0.01791	24.6	0.00	0.000	13113	100
2025-6-28 7:45:37.482	WT901BLE68(109FC1F26429)	0.011	-0.036	1.045	0.610	2.563	0.488	-0.57	1.34	-1.97	-19.687	87.600	27.480	-0.99973	0.00461	-0.01175	0.01791	24.6	0.00	0.000	13113	100
2025-6-28 7:45:37.482	WT901BLE68(109FC1F26429)	-0.004	-0.037	0.922	-0.366	-1.099	0.244	-0.58	1.33	-1.96	-19.687	87.600	27.480	-0.99973	0.00461	-0.01175	0.01791	24.6	0.00	0.000	13113	100
2025-6-28 7:45:37.482	WT901BLE68(109FC1F26429)	0.012	0.003	1.027	0.549	-2.075	0.183	-0.58	1.32	-1.96	-19.687	87.600	27.480	-0.99973	0.00461	-0.01175	0.01791	24.6	0.00	0.000	13113	100
2025-6-28 7:45:37.482	WT901BLE68(109FC1F26429)	-0.042	-0.050	1.031	4.150	-6.226	0.305	-0.56	1.29	-1.96	-19.687	87.600	27.480	-0.99973	0.00461	-0.01175	0.01791	24.6	0.00	0.000	13113	100
