time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2025-6-28 7:50:1.6	WT901BLE68(109FC1F26429)	0.014	-0.442	1.273	-3.784	-0.061	-1.770	-2.24	-0.88	-109.51	-73.053	105.707	81.033	-0.57556	0.01682	-0.01260	0.81741	22.2	0.00	0.000	13113	100
2025-6-28 7:50:1.6	WT901BLE68(109FC1F26429)	0.095	-0.129	0.839	-4.028	1.953	-0.122	-2.26	-0.87	-109.51	-73.053	105.707	81.033	-0.57556	0.01682	-0.01260	0.81741	22.2	0.00	0.000	13113	100
2025-6-28 7:50:1.6	WT901BLE68(109FC1F26429)	-0.043	-0.075	1.296	-3.845	1.953	-0.488	-2.29	-0.87	-109.51	-73.053	105.707	81.033	-0.57678	0.01770	-0.01193	0.81656	22.2	0.00	0.000	13113	100
2025-6-28 7:50:1.6	WT901BLE68(109FC1F26429)	-0.254	0.101	0.742	0.610	-1.343	1.282	-2.29	-0.87	-109.50	-73.053	105.707	81.033	-0.57678	0.01770	-0.01193	0.81656	22.2	0.00	0.000	13113	100
2025-6-28 7:50:1.6	WT901BLE68(109FC1F26429)	-0.129	0.207	0.908	10.559	-2.258	2.625	-2.24	-0.88	-109.49	-73.053	105.707	81.033	-0.57678	0.01770	-0.01193	0.81656	22.2	0.00	0.000	13113	100
2025-6-28 7:50:1.6	WT901BLE68(109FC1F26429)	0.473	-0.066	1.352	-0.854	-1.892	-0.366	-2.24	-0.89	-109.49	-73.053	105.707	81.033	-0.57678	0.01770	-0.01193	0.81656	22.2	0.00	0.000	13113	100
2025-6-28 7:50:1.6	WT901BLE68(109FC1F26429)	0.059	-0.462	1.187	-5.249	3.662	-1.770	-2.27	-0.87	-109.50	-73.053	105.707	81.033	-0.57678	0.01770	-0.01193	0.81656	22.2	0.00	0.000	13113	100
2025-6-28 7:50:1.6	WT901BLE68(109FC1F26429)	0.043	-0.158	0.758	-0.916	0.977	0.305	-2.29	-0.87	-109.50	-73.053	105.707	81.033	-0.57678	0.01770	-0.01193	0.81656	22.2	0.00	0.000	13113	100
2025-6-28 7:50:1.34	WT901BLE68(109FC1F26429)	-0.010	0.021	1.295	-4.089	0.916	-0.732	-2.31	-0.87	-109.50	-73.053	105.707	81.033	-0.57678	0.01770	-0.01193	0.81656	22.2	0.00	0.000	13113	100
2025-6-28 7:50:1.34	WT901BLE68(109FC1F26429)	-0.256	-0.012	0.792	3.662	-3.235	0.549	-2.30	-0.89	-109.50	-73.053	105.707	81.033	-0.57678	0.01770	-0.01193	0.81656	22.2	0.00	0.000	13113	100
2025-6-28 7:50:1.35	WT901BLE68(109FC1F26429)	-0.141	0.230	0.766	10.254	-2.869	3.906	-2.25	-0.90	-109.48	-73.053	105.707	81.033	-0.57678	0.01770	-0.01193	0.81656	22.2	0.00	0.000	13113	100
2025-6-28 7:50:1.35	WT901BLE68(109FC1F26429)	0.389	0.055	1.337	1.587	-2.747	-0.122	-2.24	-0.92	-109.48	-73.053	105.707	81.033	-0.57678	0.01770	-0.01193	0.81656	22.2	0.00	0.000	13113	100
2025-6-28 7:50:1.35	WT901BLE68(109FC1F26429)	0.158	-0.442	1.155	-5.249	0.488	-2.075	-2.27	-0.92	-109.49	-73.053	105.707	81.033	-0.57678	0.01770	-0.01193	0.81656	22.2	0.00	0.000	13113	100
2025-6-28 7:50:1.35	WT901BLE68(109FC1F26429)	-0.049	-0.167	0.907	-3.296	0.000	-0.977	-2.29	-0.92	-109.50	-73.053	105.707	81.033	-0.57678	0.01770	-0.01193	0.81656	22.2	0.00	0.000	13113	100
