time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2025-6-28 7:51:53.147	WT901BLE68(109FC1F26429)	0.178	0.215	1.121	2.319	-1.587	0.305	0.29	-1.45	11.03	-26.353	133.420	160.073	0.99524	0.00330	-0.01221	0.09613	22.9	0.00	0.000	13113	100
2025-6-28 7:51:53.147	WT901BLE68(109FC1F26429)	-0.005	-0.214	1.219	-1.709	0.183	-0.854	0.28	-1.45	11.02	-26.353	133.420	160.073	0.99524	0.00330	-0.01221	0.09613	22.9	0.00	0.000	13113	100
2025-6-28 7:51:53.147	WT901BLE68(109FC1F26429)	0.158	0.193	0.690	-5.432	3.235	1.831	0.25	-1.43	11.04	-26.353	133.420	160.073	0.99524	0.00330	-0.01221	0.09613	22.9	0.00	0.000	13113	100
2025-6-28 7:51:53.147	WT901BLE68(109FC1F26429)	0.056	-0.167	1.252	-3.906	-3.601	-2.686	0.23	-1.45	11.02	-26.353	133.420	160.073	0.99524	0.00330	-0.01221	0.09613	22.9	0.00	0.000	13113	100
2025-6-28 7:51:53.147	WT901BLE68(109FC1F26429)	-0.113	0.083	0.805	1.038	4.700	3.296	0.23	-1.43	11.04	-26.353	133.420	160.073	0.99524	0.00330	-0.01221	0.09613	22.9	0.00	0.000	13113	100
2025-6-28 7:51:53.147	WT901BLE68(109FC1F26429)	-0.067	-0.058	1.161	0.793	-3.235	-0.916	0.24	-1.44	11.03	-26.353	133.420	160.073	0.99524	0.00330	-0.01221	0.09613	22.9	0.00	0.000	13113	100
2025-6-28 7:51:53.147	WT901BLE68(109FC1F26429)	0.007	0.107	0.942	1.587	1.892	1.343	0.24	-1.43	11.04	-26.353	133.420	160.073	0.99524	0.00330	-0.01221	0.09613	22.9	0.00	0.000	13113	100
2025-6-28 7:51:53.147	WT901BLE68(109FC1F26429)	-0.010	-0.123	1.225	-2.869	1.709	-1.282	0.23	-1.43	11.03	-26.353	133.420	160.073	0.99524	0.00330	-0.01221	0.09613	22.9	0.00	0.000	13113	100
2025-6-28 7:51:53.176	WT901BLE68(109FC1F26429)	0.171	0.092	0.745	-2.563	-1.160	2.014	0.21	-1.43	11.04	-26.353	133.420	160.073	0.99524	0.00330	-0.01221	0.09613	22.9	0.00	0.000	13113	100
2025-6-28 7:51:53.176	WT901BLE68(109FC1F26429)	0.004	-0.192	1.143	0.549	-2.136	-1.709	0.21	-1.44	11.03	-26.353	133.420	160.073	0.99524	0.00330	-0.01221	0.09613	22.9	0.00	0.000	13113	100
