time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2025-6-28 8:53:9.450	WT901BLE68(109FC1F26429)	-0.074	-0.023	-0.738	-2.808	-4.150	0.549	-175.95	1.56	-67.70	-3.860	-139.280	-45.193	-0.03833	0.82678	-0.56110	0.00653	33.2	0.00	0.000	13113	100
2025-6-28 8:53:9.450	WT901BLE68(109FC1F26429)	0.024	-0.010	-1.047	-2.808	-2.502	0.549	-175.97	1.57	-67.69	-3.607	-138.613	-44.847	-0.03833	0.82678	-0.56110	0.00653	33.2	0.00	0.000	13113	100
2025-6-28 8:53:9.450	WT901BLE68(109FC1F26429)	0.082	0.007	-0.950	1.587	2.563	-0.977	-175.96	1.56	-67.68	-3.607	-138.613	-44.847	-0.03833	0.82678	-0.56110	0.00653	33.2	0.00	0.000	13113	100
2025-6-28 8:53:9.450	WT901BLE68(109FC1F26429)	0.102	-0.030	-1.206	3.845	2.686	0.000	-175.95	1.54	-67.67	-3.607	-138.613	-44.847	-0.03833	0.82678	-0.56110	0.00653	33.2	0.00	0.000	13113	100
2025-6-28 8:53:9.450	WT901BLE68(109FC1F26429)	-0.000	-0.202	-1.061	3.906	2.808	0.183	-175.92	1.53	-67.66	-3.607	-138.613	-44.847	-0.03833	0.82678	-0.56110	0.00653	33.2	0.00	0.000	13113	100
2025-6-28 8:53:9.450	WT901BLE68(109FC1F26429)	-0.047	0.011	-0.941	0.244	-0.427	-0.671	-175.93	1.52	-67.65	-3.607	-138.613	-44.847	-0.03833	0.82678	-0.56110	0.00653	33.2	0.00	0.000	13113	100
2025-6-28 8:53:9.450	WT901BLE68(109FC1F26429)	-0.161	-0.108	-1.064	-0.427	-1.282	0.122	-175.93	1.53	-67.65	-3.607	-138.613	-44.847	-0.03833	0.82678	-0.56110	0.00653	33.2	0.00	0.000	13113	100
2025-6-28 8:53:9.450	WT901BLE68(109FC1F26429)	-0.001	-0.010	-1.022	3.052	1.221	1.587	-175.92	1.52	-67.65	-3.607	-138.613	-44.847	-0.03833	0.82678	-0.56110	0.00653	33.2	0.00	0.000	13113	100
2025-6-28 8:53:9.493	WT901BLE68(109FC1F26429)	-0.121	-0.043	-1.313	0.183	-0.061	1.160	-175.92	1.52	-67.65	-3.607	-138.613	-44.847	-0.03833	0.82678	-0.56110	0.00653	33.2	0.00	0.000	13113	100
2025-6-28 8:53:9.493	WT901BLE68(109FC1F26429)	-0.023	-0.035	-0.832	1.099	-1.404	-0.244	-175.92	1.53	-67.64	-3.607	-138.613	-44.847	-0.03833	0.82678	-0.56110	0.00653	33.2	0.00	0.000	13113	100
