time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2025-6-28 11:15:23.317	WT901BLE68(109FC1F26429)	-0.027	-0.038	1.017	1.770	-0.183	0.427	0.49	1.14	-135.93	-28.100	-29.947	-23.007	0.37485	0.01105	0.00027	-0.92697	22.0	null	null	13113	100
2025-6-28 11:15:23.317	WT901BLE68(109FC1F26429)	-0.007	0.032	1.009	-1.831	-1.160	0.122	0.48	1.13	-135.93	-28.100	-29.947	-23.007	0.37485	0.01105	0.00027	-0.92697	22.0	null	null	13113	100
2025-6-28 11:15:23.317	WT901BLE68(109FC1F26429)	-0.035	-0.035	0.990	5.554	0.183	1.038	0.50	1.13	-135.93	-28.100	-29.947	-23.007	0.37485	0.01105	0.00027	-0.92697	22.0	null	null	13113	100
2025-6-28 11:15:23.318	WT901BLE68(109FC1F26429)	-0.015	0.000	0.997	-3.845	-2.014	0.122	0.48	1.12	-135.93	-28.100	-29.947	-23.007	0.37485	0.01105	0.00027	-0.92697	22.0	null	null	13113	100
2025-6-28 11:15:23.318	WT901BLE68(109FC1F26429)	-0.033	-0.040	0.992	6.592	0.793	1.221	0.51	1.13	-135.92	-28.100	-29.947	-23.007	0.37485	0.01105	0.00027	-0.92697	22.0	null	null	13113	100
2025-6-28 11:15:23.318	WT901BLE68(109FC1F26429)	-0.001	0.006	0.999	-6.042	-1.648	0.061	0.48	1.12	-135.92	-28.100	-29.947	-23.007	0.37485	0.01105	0.00027	-0.92697	22.0	null	null	13113	100
2025-6-28 11:15:23.318	WT901BLE68(109FC1F26429)	-0.028	-0.044	1.035	8.240	1.526	1.282	0.52	1.13	-135.92	-28.100	-29.947	-23.007	0.37485	0.01105	0.00027	-0.92697	22.0	null	null	13113	100
2025-6-28 11:15:23.318	WT901BLE68(109FC1F26429)	0.001	-0.008	1.018	-6.836	-1.404	-0.122	0.48	1.12	-135.92	-27.707	-29.913	-22.593	0.37485	0.01105	0.00027	-0.92697	22.0	null	null	13113	100
2025-6-28 11:15:23.357	WT901BLE68(109FC1F26429)	-0.031	-0.006	1.037	8.118	1.465	1.099	0.52	1.13	-135.92	-27.707	-29.913	-22.593	0.37485	0.01105	0.00027	-0.92697	22.0	null	null	13113	100
2025-6-28 11:15:23.357	WT901BLE68(109FC1F26429)	-0.038	-0.007	1.011	-4.456	-1.526	-0.122	0.49	1.12	-135.92	-27.707	-29.913	-22.593	0.37485	0.01105	0.00027	-0.92697	22.0	null	null	13113	100
