time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2025-6-28 11:31:39.844	WT901BLE68(109FC1F26429)	-0.894	-1.673	-0.388	-15.869	-8.179	-1.465	-4.80	11.05	-52.65	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
2025-6-28 11:31:39.845	WT901BLE68(109FC1F26429)	-0.729	-2.423	0.997	35.583	-3.418	1.038	-4.63	10.99	-52.64	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
2025-6-28 11:31:39.845	WT901BLE68(109FC1F26429)	-1.777	0.940	1.424	23.621	2.502	-3.174	-4.52	10.98	-52.65	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
2025-6-28 11:31:39.845	WT901BLE68(109FC1F26429)	0.310	0.201	2.804	0.305	-5.737	2.808	-4.51	10.93	-52.62	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
2025-6-28 11:31:39.845	WT901BLE68(109FC1F26429)	2.525	-1.351	0.215	-13.184	-19.958	-0.122	-4.58	10.81	-52.61	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
2025-6-28 11:31:39.845	WT901BLE68(109FC1F26429)	2.432	-0.375	-0.020	-2.441	-21.606	0.244	-4.60	10.67	-52.60	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
2025-6-28 11:31:39.845	WT901BLE68(109FC1F26429)	-0.255	-1.187	-0.423	-9.888	-15.381	-0.732	-4.67	10.52	-52.59	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
2025-6-28 11:31:39.845	WT901BLE68(109FC1F26429)	-0.415	1.990	2.053	11.902	8.362	-1.831	-4.62	10.51	-52.59	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
2025-6-28 11:31:39.874	WT901BLE68(109FC1F26429)	-0.390	2.250	2.672	-3.052	3.113	2.075	-4.61	10.48	-52.58	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
2025-6-28 11:31:39.874	WT901BLE68(109FC1F26429)	0.731	0.158	0.376	-2.686	-7.507	1.099	-4.60	10.39	-52.56	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
2025-6-28 11:31:39.874	WT901BLE68(109FC1F26429)	0.563	-1.331	1.039	-5.127	-9.155	0.793	-4.62	10.30	-52.54	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
2025-6-28 11:31:39.874	WT901BLE68(109FC1F26429)	-0.467	-0.061	0.340	-12.634	-8.240	-0.488	-4.67	10.20	-52.53	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
2025-6-28 11:31:39.874	WT901BLE68(109FC1F26429)	-0.500	-0.823	0.645	-1.831	4.028	-0.671	-4.69	10.17	-52.53	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
2025-6-28 11:31:39.874	WT901BLE68(109FC1F26429)	-1.321	0.367	0.985	24.902	-2.563	3.296	-4.55	10.12	-52.50	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
2025-6-28 11:31:39.874	WT901BLE68(109FC1F26429)	-1.563	-1.902	0.926	-26.672	0.122	-0.549	-4.70	10.09	-52.50	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
2025-6-28 11:31:39.874	WT901BLE68(109FC1F26429)	-1.703	0.527	2.134	2.747	8.667	-2.563	-4.69	10.11	-52.51	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
2025-6-28 11:31:39.905	WT901BLE68(109FC1F26429)	-0.280	-0.396	1.609	-1.160	-3.601	1.648	-4.70	10.09	-52.50	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
2025-6-28 11:31:39.906	WT901BLE68(109FC1F26429)	1.823	-0.482	1.936	-20.447	-10.559	0.916	-4.81	10.03	-52.49	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
2025-6-28 11:31:39.906	WT901BLE68(109FC1F26429)	1.866	-2.060	-0.890	-5.432	-15.198	0.793	-4.86	9.93	-52.48	-42.347	34.673	0.807	0.89127	0.01575	0.11505	-0.43823	25.3	null	null	13113	100
