time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2025-6-28 11:33:45.544	WT901BLE68(109FC1F26429)	-0.231	-0.185	1.496	44.922	16.174	5.249	-11.89	6.34	-54.52	-64.907	42.360	10.160	-0.88626	0.06714	-0.09506	0.44821	30.6	null	null	13113	100
2025-6-28 11:33:45.544	WT901BLE68(109FC1F26429)	-3.112	-1.676	0.856	-3.906	18.860	-1.343	-11.93	6.48	-54.54	-64.907	42.360	10.160	-0.88626	0.06714	-0.09506	0.44821	30.6	null	null	13113	100
2025-6-28 11:33:45.544	WT901BLE68(109FC1F26429)	-1.184	-0.142	1.415	14.404	17.822	-3.662	-11.88	6.63	-54.57	-64.907	42.360	10.160	-0.88626	0.06714	-0.09506	0.44821	30.6	null	null	13113	100
2025-6-28 11:33:45.544	WT901BLE68(109FC1F26429)	-1.389	0.978	1.169	-4.944	1.099	-1.770	-11.91	6.70	-54.57	-64.907	42.360	10.160	-0.88626	0.06714	-0.09506	0.44821	30.6	null	null	13113	100
2025-6-28 11:33:45.544	WT901BLE68(109FC1F26429)	2.420	2.526	1.620	-8.484	1.221	-5.554	-11.94	6.77	-54.59	-64.907	42.360	10.160	-0.88626	0.06714	-0.09506	0.44821	30.6	null	null	13113	100
2025-6-28 11:33:45.544	WT901BLE68(109FC1F26429)	1.266	0.886	0.749	0.732	-6.409	-0.122	-11.92	6.80	-54.59	-64.907	42.360	10.160	-0.88626	0.06714	-0.09506	0.44821	30.6	null	null	13113	100
2025-6-28 11:33:45.544	WT901BLE68(109FC1F26429)	2.371	1.080	0.503	-0.549	6.836	-3.235	-11.89	6.87	-54.61	-64.907	42.360	10.160	-0.88626	0.06714	-0.09506	0.44821	30.6	null	null	13113	100
2025-6-28 11:33:45.544	WT901BLE68(109FC1F26429)	1.311	0.169	0.772	0.183	-3.540	1.526	-11.85	6.88	-54.60	-64.907	42.360	10.160	-0.88626	0.06714	-0.09506	0.44821	30.6	null	null	13113	100
2025-6-28 11:33:45.605	WT901BLE68(109FC1F26429)	0.271	-0.838	0.982	0.366	0.732	-1.587	-11.83	6.89	-54.61	-64.907	42.360	10.160	-0.88626	0.06714	-0.09506	0.44821	30.6	null	null	13113	100
2025-6-28 11:33:45.605	WT901BLE68(109FC1F26429)	-1.868	-0.621	0.760	2.197	-2.625	0.916	-11.79	6.89	-54.60	-64.907	42.360	10.160	-0.88626	0.06714	-0.09506	0.44821	30.6	null	null	13113	100
2025-6-28 11:33:45.605	WT901BLE68(109FC1F26429)	-1.513	0.275	1.391	3.601	13.550	-1.404	-11.76	6.98	-54.62	-64.907	42.360	10.160	-0.88626	0.06714	-0.09506	0.44821	30.6	null	null	13113	100
2025-6-28 11:33:45.605	WT901BLE68(109FC1F26429)	1.010	-0.576	1.467	9.155	14.893	1.526	-11.69	7.08	-54.63	-64.907	42.360	10.160	-0.88626	0.06714	-0.09506	0.44821	30.6	null	null	13113	100
