time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2025-6-29 18:47:10.570	WT901BLE68(109FC1F26429)	-0.172	0.064	0.781	19.836	-4.944	0.732	-2.16	4.04	-71.55	-30.600	8.753	13.367	0.81119	0.00427	0.03979	-0.58331	25.0	null	null	13113	100
2025-6-29 18:47:10.570	WT901BLE68(109FC1F26429)	-0.322	-0.212	1.183	-21.729	4.333	0.549	-2.27	4.06	-71.56	-30.600	8.753	13.367	0.81119	0.00427	0.03979	-0.58331	25.0	null	null	13113	100
2025-6-29 18:47:10.570	WT901BLE68(109FC1F26429)	-0.276	-0.140	0.868	11.780	1.160	0.793	-2.21	4.08	-71.56	-30.600	8.753	13.367	0.81119	0.00427	0.03979	-0.58331	25.0	null	null	13113	100
2025-6-29 18:47:10.570	WT901BLE68(109FC1F26429)	-0.179	-0.210	1.013	-4.272	6.104	0.549	-2.24	4.12	-71.56	-30.600	8.753	13.367	0.81119	0.00427	0.03979	-0.58331	25.0	null	null	13113	100
2025-6-29 18:47:10.570	WT901BLE68(109FC1F26429)	-0.069	-0.156	0.847	-5.981	2.197	0.122	-2.28	4.14	-71.56	-30.600	8.753	13.367	0.81119	0.00427	0.03979	-0.58331	25.0	null	null	13113	100
2025-6-29 18:47:10.570	WT901BLE68(109FC1F26429)	-0.039	-0.023	0.819	11.108	-2.380	0.916	-2.22	4.14	-71.56	-30.600	8.753	13.367	0.81119	0.00427	0.03979	-0.58331	25.0	null	null	13113	100
2025-6-29 18:47:10.570	WT901BLE68(109FC1F26429)	-0.048	0.013	0.896	-1.709	-3.479	0.793	-2.24	4.13	-71.56	-30.600	8.753	13.367	0.81119	0.00427	0.03979	-0.58331	25.0	null	null	13113	100
2025-6-29 18:47:10.570	WT901BLE68(109FC1F26429)	-0.031	-0.123	1.024	-1.709	-0.183	0.671	-2.25	4.14	-71.56	-30.600	8.753	13.367	0.81119	0.00427	0.03979	-0.58331	25.0	null	null	13113	100
2025-6-29 18:47:10.630	WT901BLE68(109FC1F26429)	0.031	0.120	1.124	-1.709	-2.258	0.977	-2.26	4.13	-71.56	-30.600	8.753	13.367	0.81119	0.00427	0.03979	-0.58331	25.0	null	null	13113	100
2025-6-29 18:47:10.630	WT901BLE68(109FC1F26429)	-0.263	-0.159	1.279	10.986	-2.930	0.793	-2.21	4.13	-71.55	-30.600	8.753	13.367	0.81119	0.00427	0.03979	-0.58331	25.0	null	null	13113	100
