time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2025-6-29 21:59:0.246	WT901BLE68(109FC1F26429)	-0.196	-0.058	1.037	-2.258	-0.366	-0.244	-3.22	5.45	-68.09	-28.820	9.953	13.300	0.82813	0.00385	0.05508	-0.55771	23.7	null	null	13113	100
2025-6-29 21:59:0.246	WT901BLE68(109FC1F26429)	-0.073	-0.048	0.831	-1.038	0.427	0.122	-3.23	5.45	-68.09	-28.820	9.953	13.300	0.82813	0.00385	0.05508	-0.55771	23.7	null	null	13113	100
2025-6-29 21:59:0.246	WT901BLE68(109FC1F26429)	-0.014	-0.017	1.267	-0.183	-2.625	-0.061	-3.24	5.44	-68.09	-28.820	9.953	13.300	0.82813	0.00385	0.05508	-0.55771	23.7	null	null	13113	100
2025-6-29 21:59:0.246	WT901BLE68(109FC1F26429)	-0.026	-0.060	0.939	-0.366	1.221	-0.366	-3.24	5.45	-68.09	-28.820	9.953	13.300	0.82813	0.00385	0.05508	-0.55771	23.7	null	null	13113	100
2025-6-29 21:59:0.246	WT901BLE68(109FC1F26429)	-0.018	-0.096	0.752	4.639	-0.488	-0.122	-3.21	5.45	-68.09	-28.820	9.953	13.300	0.82813	0.00385	0.05508	-0.55771	23.7	null	null	13113	100
2025-6-29 21:59:0.246	WT901BLE68(109FC1F26429)	0.016	-0.087	1.489	0.061	-2.441	0.000	-3.22	5.43	-68.09	-28.820	9.953	13.300	0.82813	0.00385	0.05508	-0.55771	23.7	null	null	13113	100
2025-6-29 21:59:0.246	WT901BLE68(109FC1F26429)	0.011	-0.050	0.429	1.770	-3.601	0.122	-3.21	5.42	-68.09	-28.820	9.953	13.300	0.82813	0.00385	0.05508	-0.55771	23.7	null	null	13113	100
2025-6-29 21:59:0.246	WT901BLE68(109FC1F26429)	0.033	-0.106	1.323	0.122	-2.991	0.122	-3.21	5.39	-68.08	-28.820	9.953	13.300	0.82813	0.00385	0.05508	-0.55771	23.7	null	null	13113	100
2025-6-29 21:59:0.247	WT901BLE68(109FC1F26429)	-0.101	-0.174	0.768	0.610	-0.244	0.000	-3.21	5.39	-68.08	-28.820	9.953	13.300	0.82813	0.00385	0.05508	-0.55771	23.7	null	null	13113	100
2025-6-29 21:59:0.247	WT901BLE68(109FC1F26429)	-0.047	-0.074	1.292	1.404	-2.136	0.244	-3.21	5.38	-68.08	-28.820	9.953	13.300	0.82813	0.00385	0.05508	-0.55771	23.7	null	null	13113	100
